,precision,recall,f1-score,support
negatif,0.8181818181818182,0.9,0.8571428571428571,60.0
positif,0.9047619047619048,0.8260869565217391,0.8636363636363636,69.0
accuracy,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8604651162790697
macro avg,0.8614718614718615,0.8630434782608696,0.8603896103896104,129.0
weighted avg,0.8644920970502367,0.8604651162790697,0.8606161280579885,129.0
